organisasjonsnummer,navn,naeringskode,organisasjonsform,kommune,postnummer,poststed,antall_ansatte,overordnet_enhet,er_i_konsern,regnskapsaar,fra_dato,til_dato,regnskapstype,oppstillingsplan,sum_driftsinntekter,sum_driftskostnad,driftsresultat,sum_finansinntekter,sum_finanskostnad,ordinaert_resultat_foer_skatt,aarsresultat,sum_eiendeler,sum_anleggsmidler,sum_omloepsmidler,sum_egenkapital,sum_gjeld,sum_kortsiktig_gjeld,sum_langsiktig_gjeld,pdf_aar_tilgjengelig,hentet_dato
814087662,AUTEXO AS,47.810,AS,KONGSBERG,3617,KONGSBERG,,,False,2022,2022-01-01,2022-12-31,SELSKAP,store,16221699.0,16114405.0,107294.0,259.0,,107553.0,83892.0,259059.0,0.0,259059.0,113892.0,145167.0,145167.0,0.0,2014|2015|2016|2017|2018|2019|2020|2021|2022,2026-04-11
918116192,AUTONAVIA AS,47.810,AS,FREDRIKSTAD,1617,FREDRIKSTAD,,,False,2022,2022-01-01,2022-12-31,SELSKAP,store,58400406.0,57948345.0,452062.0,,367187.0,84875.0,62547.0,18953018.0,7589282.0,11363736.0,4708945.0,14244073.0,6459353.0,7784720.0,2016|2017|2018|2019|2020|2021|2022,2026-04-11
918559272,AUTOSPIRE AS,47.810,AS,NARVIK,8517,NARVIK,,,False,2022,2022-01-01,2022-12-31,SELSKAP,store,12399117.0,13022770.0,-623653.0,33.0,99377.0,-722997.0,-746398.0,3364974.0,79875.0,3285099.0,-461777.0,3826751.0,1498723.0,2328027.0,2017|2018|2019|2020|2021|2022,2026-04-11
919165707,IAUTO AS,47.810,AS,LILLESTRØM,1920,SØRUMSAND,,,False,2022,2022-01-01,2022-12-31,SELSKAP,store,23494259.0,25319440.0,-1825181.0,44.0,421042.0,-2246178.0,-2079740.0,7362849.0,1041863.0,6320986.0,4381811.0,2981039.0,1224641.0,1756397.0,2017|2018|2019|2020|2021|2022,2026-04-11
920033555,TRAILER-TEKNIKK AS,46.710,AS,BODØ,8050,TVERLANDET,,,False,2022,2022-01-01,2022-12-31,SELSKAP,store,22697475.0,21931854.0,765621.0,4973.0,253240.0,517353.0,340862.0,10026232.0,1000626.0,9025606.0,665696.0,9360536.0,9054299.0,306237.0,,2026-04-11
922675759,AUTOBUTIKKEN AS,47.810,AS,LARVIK,3261,LARVIK,,,False,2022,2022-01-01,2022-12-31,SELSKAP,store,11597781.0,9103169.0,2494612.0,148371.0,26653.0,2616330.0,2041546.0,3039241.0,481289.0,2557952.0,2036408.0,1002833.0,1001545.0,1288.0,2019|2020|2021|2022,2026-04-11
926454501,EXAL AS,47.810,AS,BAMBLE,3967,STATHELLE,,,False,2022,2022-01-01,2022-12-31,SELSKAP,store,0.0,12980.0,-12980.0,-1157.0,0.0,-14137.0,-14137.0,47727.0,18800.0,28927.0,-6752.0,54478.0,54478.0,0.0,2021|2022,2026-04-11
927749742,CIT INVEST AS,47.810,AS,ÅS,1434,ÅS,,,False,2022,2022-01-01,2022-12-31,SELSKAP,store,1301184.0,2455881.0,-1154697.0,1976.0,1022091.0,-2174812.0,-1968368.0,25205693.0,20002409.0,5203284.0,3152335.0,22053358.0,5572904.0,16480454.0,2021|2022,2026-04-11
928178226,J W BIL AS,47.810,AS,INDRE ØSTFOLD,1815,ASKIM,,,False,2022,2022-01-01,2022-12-31,SELSKAP,store,194000.0,211267.0,-17267.0,,202.0,-17469.0,-17469.0,7034.0,0.0,7034.0,1093.0,5941.0,5941.0,0.0,,2026-04-11
928236528,FISKER NORWAY AS,46.710,AS,VESTBY,1543,VESTBY,,,False,2022,2022-01-01,2022-12-31,SELSKAP,store,1097471.0,1045234.0,52237.0,1059.0,1461.0,51835.0,40434.0,1568428.0,1153789.0,414640.0,70458.0,1497970.0,136517.0,1361454.0,2022,2026-04-11
928345386,KNAPSTAD BILSENTER AS,47.810,AS,INDRE ØSTFOLD,1823,KNAPSTAD,,,False,2022,2022-01-01,2022-12-31,SELSKAP,store,1658827.0,1859870.0,-201043.0,30.0,4641.0,-205653.0,-205653.0,548902.0,0.0,548902.0,-181220.0,730122.0,688138.0,41984.0,2021|2022,2026-04-11
929611624,BRUKTBILXPRESS AS,47.810,AS,SKIEN,3735,SKIEN,,,False,2022,2022-01-01,2022-12-31,SELSKAP,store,808036.0,535093.0,272943.0,,,272943.0,212895.0,594626.0,0.0,594626.0,312895.0,281730.0,210097.0,71633.0,2022,2026-04-11
930321516,OPSAHL BIL,47.810,ENK,SARPSBORG,1730,ISE,,,False,2022,2022-01-01,2022-12-31,SELSKAP,store,0.0,,0.0,,,0.0,0.0,47750.0,0.0,47750.0,50000.0,-2250.0,-2250.0,0.0,2022,2026-04-11
997868358,ALEKSANDRIA MOTOR AS,47.810,AS,PORSGRUNN,3919,PORSGRUNN,,,False,2022,2022-01-01,2022-12-31,SELSKAP,store,,4744.0,-4744.0,,,-4744.0,-4744.0,18.0,0.0,18.0,6686.0,-6669.0,-6669.0,0.0,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022,2026-04-12
